"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-01 00:00:00', '1.82566', '5.6421027')",9.214608068262953
"('2019-01-01 01:00:00', '1.8210341', '5.5864854')",9.077597133987663
"('2019-01-01 02:00:00', '1.8211527', '5.5564947')",9.030040716433998
"('2019-01-01 03:00:00', '1.8242366', '5.537925')",9.030368637948472
"('2019-01-01 04:00:00', '1.831828', '5.5238113')",9.082476864239183
"('2019-01-01 05:00:00', '1.8180687', '5.518705')",8.938277623669707
"('2019-01-01 06:00:00', '1.773114', '5.514434')",8.495136098593646
"('2019-01-01 07:00:00', '1.7098333', '5.4989276')",7.87737687285608
"('2019-01-01 08:00:00', '1.6256764', '5.4760866')",7.091442564703134
"('2019-01-01 09:00:00', '1.5205249', '5.4524097')",6.176915138123547
"('2019-01-01 10:00:00', '1.3981743', '5.457702')",5.227915133023054
"('2019-01-01 11:00:00', '1.2945647', '5.4068203')",4.440026241037842
"('2019-01-01 12:00:00', '1.2114754', '5.2934504')",3.806835650869337
"('2019-01-01 13:00:00', '1.1590478', '5.091594')",3.351602764677664
"('2019-01-01 14:00:00', '1.1244719', '4.8714466')",3.0182224176714336
"('2019-01-01 15:00:00', '1.1122546', '4.6542697')",2.8213440316768907
"('2019-01-01 16:00:00', '1.123523', '4.4839826')",2.7734729437949377
"('2019-01-01 17:00:00', '1.119312', '4.4071956')",2.7055821524434958
"('2019-01-01 18:00:00', '1.0976057', '4.370334')",2.579903230739308
"('2019-01-01 19:00:00', '1.0839057', '4.337094')",2.496766423163338
"('2019-01-01 20:00:00', '1.059234', '4.330594')",2.380824456384831
"('2019-01-01 21:00:00', '1.0181341', '4.344893')",2.2069125911149814
"('2019-01-01 22:00:00', '0.96837544', '4.359378')",2.0031254132600673
"('2019-01-01 23:00:00', '0.9131012', '4.3820333')",1.7902330917398088
"('2019-01-02 00:00:00', '0.8548616', '4.4135094')",1.5804172246937425
"('2019-01-02 01:00:00', '0.8001212', '4.431708')",1.390204765138188
"('2019-01-02 02:00:00', '0.75000656', '4.4280868')",1.2205127748066875
"('2019-01-02 03:00:00', '0.6999514', '4.4371862')",1.0652204777423901
"('2019-01-02 04:00:00', '0.65481865', '4.4336576')",0.9315374321312212
"('2019-01-02 05:00:00', '0.65428495', '4.534772')",0.9512296914989316
"('2019-01-02 06:00:00', '0.6159725', '4.472748')",0.8315591705664551
"('2019-01-02 07:00:00', '0.58863187', '4.3558493')",0.7395311476778942
"('2019-01-02 08:00:00', '0.5816337', '4.1766486')",0.6923459261835027
"('2019-01-02 09:00:00', '0.62030196', '3.9203823')",0.7391469797073638
"('2019-01-02 10:00:00', '0.696393', '3.7883494')",0.9002329427900061
"('2019-01-02 11:00:00', '0.8743737', '3.7957773')",1.4219717765246909
"('2019-01-02 12:00:00', '1.1269034', '4.024096')",2.5040199881418115
"('2019-01-02 13:00:00', '1.2672834', '4.265135')",3.3564204175584655
"('2019-01-02 14:00:00', '1.3562441', '4.3743267')",3.9426027398305767
"('2019-01-02 15:00:00', '1.472842', '4.5137877')",4.797881629126352
"('2019-01-02 16:00:00', '1.5059946', '4.76829')",5.299142153414968
"('2019-01-02 17:00:00', '1.5432395', '4.9874163')",5.820206074662181
"('2019-01-02 18:00:00', '1.6276928', '5.126413')",6.655099550152319
"('2019-01-02 19:00:00', '1.7747152', '5.2176847')",8.05250956667302
"('2019-01-02 20:00:00', '1.9502643', '5.334769')",9.94256962334985
"('2019-01-02 21:00:00', '2.0895767', '5.4872284')",11.739936601242427
"('2019-01-02 22:00:00', '2.1449697', '5.6334677')",12.700306791479317
"('2019-01-02 23:00:00', '2.1742082', '5.749902')",13.318606304902968
"('2019-01-03 00:00:00', '2.201608', '5.8322597')",13.852014051725755
"('2019-01-03 01:00:00', '2.3768606', '5.909975')",16.360220286473012
"('2019-01-03 02:00:00', '2.6821144', '6.0704203')",21.397815435025386
"('2019-01-03 03:00:00', '2.9775825', '6.3169374')",27.44291622320879
"('2019-01-03 04:00:00', '3.2139807', '6.575154')",33.280400049650964
"('2019-01-03 05:00:00', '3.3698993', '6.77701')",37.71100037693402
"('2019-01-03 06:00:00', '3.455835', '6.9212065')",40.502691543116114
"('2019-01-03 07:00:00', '3.5031624', '6.9979935')",42.08139773600167
"('2019-01-03 08:00:00', '3.4930801', '7.02362')",41.992736424046164
"('2019-01-03 09:00:00', '3.4579701', '7.0129423')",41.09025280228297
"('2019-01-03 10:00:00', '3.3828282', '6.9949293')",39.22286326501495
"('2019-01-03 11:00:00', '3.4346032', '6.969117')",40.28347952651148
"('2019-01-03 12:00:00', '3.4923682', '6.97246')",41.66987154082682
"('2019-01-03 13:00:00', '3.5340614', '6.995858')",42.813945005837446
"('2019-01-03 14:00:00', '3.5730262', '7.019906')",43.91367448806681
"('2019-01-03 15:00:00', '3.570713', '7.0343904')",43.94732413417745
"('2019-01-03 16:00:00', '3.5018575', '7.0326266')",42.25815950262019
"('2019-01-03 17:00:00', '3.4177008', '7.0083')",40.11223346154989
"('2019-01-03 18:00:00', '3.3508615', '6.9727383')",38.36298579303959
"('2019-01-03 19:00:00', '3.298612', '6.9335556')",36.967029293573134
"('2019-01-03 20:00:00', '3.2823024', '6.88908')",36.36758718910148
"('2019-01-03 21:00:00', '3.2830734', '6.8440475')",36.14683526560843
"('2019-01-03 22:00:00', '3.2058556', '6.8104362')",34.297220240754335
"('2019-01-03 23:00:00', '3.2027123', '6.754726')",33.9499916911777
"('2019-01-04 00:00:00', '3.1587064', '6.69818')",32.74699208794428
"('2019-01-04 01:00:00', '3.059545', '6.6527767')",30.514953822072012
"('2019-01-04 02:00:00', '3.0092525', '6.6065373')",29.31481996586893
"('2019-01-04 03:00:00', '3.0900881', '6.6057944')",30.90742724836432
"('2019-01-04 04:00:00', '3.1809466', '6.6633615')",33.037122385035
"('2019-01-04 05:00:00', '3.231061', '6.752962')",34.54464232865366
"('2019-01-04 06:00:00', '3.2445831', '6.8147073')",35.1528944885568
"('2019-01-04 07:00:00', '3.2139807', '6.8381987')",34.611811123359715
"('2019-01-04 08:00:00', '3.1710424', '6.8262205')",33.63415263918226
"('2019-01-04 09:00:00', '3.1114388', '6.7932587')",32.22528447807293
"('2019-01-04 10:00:00', '2.9368978', '6.756026')",28.553875405524067
"('2019-01-04 11:00:00', '2.782699', '6.6640115')",25.28507707389946
"('2019-01-04 12:00:00', '2.6319997', '6.554448')",22.24866071527247
"('2019-01-04 13:00:00', '2.5303473', '6.4282646')",20.16740838070619
"('2019-01-04 14:00:00', '2.4425728', '6.3144307')",18.459728720968386
"('2019-01-04 15:00:00', '2.3639317', '6.2173095')",17.024266780084798
"('2019-01-04 16:00:00', '2.2963214', '6.13068')",15.840543350835746
"('2019-01-04 17:00:00', '2.2453172', '6.0538')",14.954763713331541
"('2019-01-04 18:00:00', '2.2787666', '6.094097')",15.506191150118994
"('2019-01-04 19:00:00', '2.2208235', '6.0503645')",14.621963920356068
"('2019-01-04 20:00:00', '2.1489432', '6.0067253')",13.59201121910717
"('2019-01-04 21:00:00', '2.0605755', '5.959093')",12.39804781379582
"('2019-01-04 22:00:00', '2.002929', '5.8827705')",11.564026953776583
"('2019-01-04 23:00:00', '1.9614733', '5.808119')",10.949552934202165
"('2019-01-05 00:00:00', '1.9714962', '5.731889')",10.916558343891314
"('2019-01-05 01:00:00', '2.035904', '5.6898274')",11.556059350344238
"('2019-01-05 02:00:00', '2.1311512', '5.705612')",12.69775200620702
"('2019-01-05 03:00:00', '2.208369', '5.7697716')",13.787895586398562
"('2019-01-05 04:00:00', '2.240632', '5.840709')",14.36821167096526
"('2019-01-05 05:00:00', '2.2567043', '5.8991117')",14.720820343998684
"('2019-01-05 06:00:00', '2.2344048', '5.921489')",14.486074626822244
"('2019-01-05 07:00:00', '2.1602116', '5.9167533')",13.529200387930368
"('2019-01-05 08:00:00', '2.0722592', '5.8767347')",12.365745902521743
"('2019-01-05 09:00:00', '1.9755884', '5.813504')",11.11800821439876
"('2019-01-05 10:00:00', '1.8454686', '5.7506447')",9.596788779246003
"('2019-01-05 11:00:00', '1.7522378', '5.632075')",8.47326129634438
"('2019-01-05 12:00:00', '1.690084', '5.490664')",7.6848877552478525
"('2019-01-05 13:00:00', '1.6374192', '5.360581')",7.042513688391323
"('2019-01-05 14:00:00', '1.578883', '5.2625313')",6.428219076257668
"('2019-01-05 15:00:00', '1.5091972', '5.1985574')",5.801908898188955
"('2019-01-05 16:00:00', '1.419169', '5.1512966')",5.083711170193366
"('2019-01-05 17:00:00', '1.3398161', '5.0894585')",4.476700517411204
"('2019-01-05 18:00:00', '1.2967591', '4.9947515')",4.115556561114314
"('2019-01-05 19:00:00', '1.2821102', '4.896702')",3.944123138145559
"('2019-01-05 20:00:00', '1.278789', '4.819636')",3.861962953400267
"('2019-01-05 21:00:00', '1.2846011', '4.7697754')",3.856830816451831
"('2019-01-05 22:00:00', '1.3118824', '4.7447057')",4.001245244489303
"('2019-01-05 23:00:00', '1.3942007', '4.7574263')",4.531257492611792
"('2019-01-06 00:00:00', '1.484822', '4.812115')",5.198533715506815
"('2019-01-06 01:00:00', '1.5669624', '4.8800817')",5.871381820872271
"('2019-01-06 02:00:00', '1.6496958', '4.95529')",6.6080435024044055
"('2019-01-06 03:00:00', '1.7495097', '5.057425')",7.585046377210878
"('2019-01-06 04:00:00', '1.7695554', '5.1519465')",7.904888564612208
"('2019-01-06 05:00:00', '1.7001069', '5.204314')",7.370755948925263
"('2019-01-06 06:00:00', '1.5998778', '5.2115564')",6.536377802056254
"('2019-01-06 07:00:00', '1.4740874', '5.193822')",5.530057024670341
"('2019-01-06 08:00:00', '1.3436711', '5.1584463')",4.5635303858498295
"('2019-01-06 09:00:00', '1.2339528', '5.0895514')",3.797280510963267
"('2019-01-06 10:00:00', '1.1487284', '4.977667')",3.218523140818768
"('2019-01-06 11:00:00', '1.0773227', '4.84712')",2.7565855382752686
"('2019-01-06 12:00:00', '1.0121441', '4.720565')",2.3695984537901493
"('2019-01-06 13:00:00', '0.9759668', '4.551392')",2.124273397424327
"('2019-01-06 14:00:00', '0.96879065', '4.3771124')",2.012999450901967
"('2019-01-06 15:00:00', '0.9696802', '4.2522287')",1.9591592996509206
"('2019-01-06 16:00:00', '0.9480331', '4.190112')",1.845307356597674
"('2019-01-06 17:00:00', '0.9398488', '4.1371875')",1.7906770451139113
"('2019-01-06 18:00:00', '0.93332493', '4.1141605')",1.7560749306585637
"('2019-01-06 19:00:00', '1.0238869', '4.1126747')",2.112634718215396
"('2019-01-06 20:00:00', '1.215627', '4.2722845')",3.0935484388696537
"('2019-01-06 21:00:00', '1.4487633', '4.564948')",4.694904759796305
"('2019-01-06 22:00:00', '1.542765', '4.842106')",5.6471578563364515
"('2019-01-06 23:00:00', '1.4975137', '5.008586')",5.50367555050552
"('2019-01-07 00:00:00', '1.4124672', '5.069217')",4.955571033261721
"('2019-01-07 01:00:00', '1.3824579', '5.015828')",4.697237774224179
"('2019-01-07 02:00:00', '1.3875582', '4.940341')",4.660745867296402
"('2019-01-07 03:00:00', '1.3946159', '4.9047794')",4.67438827227863
"('2019-01-07 04:00:00', '1.451788', '4.89828')",5.0587834812815995
"('2019-01-07 05:00:00', '1.5266929', '4.94062')",5.642621299499614
"('2019-01-07 06:00:00', '1.5679705', '5.0164785')",6.043253474190393
"('2019-01-07 07:00:00', '1.5868895', '5.0894585')",6.280020053694179
"('2019-01-07 08:00:00', '1.6075284', '5.1390405')",6.5072190866784325
"('2019-01-07 09:00:00', '1.6342759', '5.1678243')",6.763236472572377
"('2019-01-07 10:00:00', '1.5945401', '5.197629')",6.475484197923965
"('2019-01-07 11:00:00', '1.5543299', '5.172188')",6.1228946241061015
"('2019-01-07 12:00:00', '1.6023687', '5.1024575')",6.41948786360863
"('2019-01-07 13:00:00', '1.6941762', '5.1005077')",7.173426295092728
"('2019-01-07 14:00:00', '1.7808832', '5.155939')",8.012623281687183
"('2019-01-07 15:00:00', '1.8375214', '5.229198')",8.651590950555898
"('2019-01-07 16:00:00', '1.807512', '5.2810082')",8.45425416913364
"('2019-01-07 17:00:00', '1.7193817', '5.293636')",7.668223373661736
"('2019-01-07 18:00:00', '1.6002929', '5.2646666')",6.606415893040689
"('2019-01-07 19:00:00', '1.4816787', '5.227155')",5.623018777049322
"('2019-01-07 20:00:00', '1.3548801', '5.16736')",4.6480043646526035
"('2019-01-07 21:00:00', '1.2344866', '5.0909443')",3.801606712320195
"('2019-01-07 22:00:00', '1.1151607', '5.0357914')",3.068588997031283
"('2019-01-07 23:00:00', '1.0132117', '4.954733')",2.4923941805058885
"('2019-01-08 00:00:00', '0.9310713', '4.8304996')",2.0518896943050033
"('2019-01-08 01:00:00', '0.8657148', '4.672654')",1.7159688031169988
"('2019-01-08 02:00:00', '0.80593324', '4.532543')",1.4425675192093206
"('2019-01-08 03:00:00', '0.7439573', '4.435422')",1.2028931326629948
"('2019-01-08 04:00:00', '0.6819813', '4.371634')",0.9962877899977968
"('2019-01-08 05:00:00', '0.6250465', '4.3186164')",0.826733174481427
"('2019-01-08 06:00:00', '0.5773636', '4.238858')",0.6923787791140312
"('2019-01-08 07:00:00', '0.54320264', '4.092805')",0.5917535572847934
"('2019-01-08 08:00:00', '0.51704824', '3.942109')",0.5164007172041417
"('2019-01-08 09:00:00', '0.50198424', '3.7669938')",0.4651265715964572
"('2019-01-08 10:00:00', '0.49949324', '3.5970778')",0.4397492841160314
"('2019-01-08 11:00:00', '0.5403559', '3.3749804')",0.4828665604478044
"('2019-01-08 12:00:00', '0.605831', '3.2448974')",0.5835795083254411
"('2019-01-08 13:00:00', '0.65114164', '3.2271628')",0.6704523120918041
"('2019-01-08 14:00:00', '0.660097', '3.2601247')",0.6960586104169397
"('2019-01-08 15:00:00', '0.6550559', '3.2827802')",0.6902312383344218
"('2019-01-08 16:00:00', '0.63400185', '3.301443')",0.6502508578517014
"('2019-01-08 17:00:00', '0.5987735', '3.3103566')",0.5815619747371708
"('2019-01-08 18:00:00', '0.5532849', '3.3042288')",0.49563712356651723
"('2019-01-08 19:00:00', '0.50156903', '3.2901154')",0.40557262738125105
"('2019-01-08 20:00:00', '0.45560598', '3.26681')",0.33227585776937746
"('2019-01-08 21:00:00', '0.41776812', '3.2449903')",0.2775109182885056
"('2019-01-08 22:00:00', '0.40276337', '3.18993')",0.25355791099452846
"('2019-01-08 23:00:00', '0.39232528', '3.2032075')",0.24158709935415734
"('2019-01-09 00:00:00', '0.3945197', '3.2535324')",0.24813533001707896
"('2019-01-09 01:00:00', '0.39938283', '3.388165')",0.26481306744165073
"('2019-01-09 02:00:00', '0.40430534', '3.6550164')",0.2927550294896825
"('2019-01-09 03:00:00', '0.43105292', '3.91119')",0.35609524679249355
"('2019-01-09 04:00:00', '0.48181975', '4.0752563')",0.46357520965392796
"('2019-01-09 05:00:00', '0.552336', '4.1235385')",0.61641448382517
"('2019-01-09 06:00:00', '0.63014686', '4.1477723')",0.8070390326830019
"('2019-01-09 07:00:00', '0.7121093', '4.1578')",1.0331252836223572
"('2019-01-09 08:00:00', '0.7979268', '4.1662493')",1.299772780057164
"('2019-01-09 09:00:00', '0.8482785', '4.2648563')",1.50375610034906
"('2019-01-09 10:00:00', '0.87520397', '4.3830547')",1.645097069153728
"('2019-01-09 11:00:00', '0.8951311', '4.4835186')",1.760306726160754
"('2019-01-09 12:00:00', '0.9249034', '4.514809')",1.8924665591070224
"('2019-01-09 13:00:00', '0.9691465', '4.4882536')",2.0656290434041362
"('2019-01-09 14:00:00', '1.0124407', '4.4588203')",2.2395215229056724
"('2019-01-09 15:00:00', '1.0782123', '4.393268')",2.5026051896408537
"('2019-01-09 16:00:00', '1.159641', '4.3509283')",2.8669830812340473
"('2019-01-09 17:00:00', '1.2082136', '4.3917823')",3.141407845425421
"('2019-01-09 18:00:00', '1.2011559', '4.4221444')",3.1262791744729825
"('2019-01-09 19:00:00', '1.2178805', '4.454642')",3.237563097144699
"('2019-01-09 20:00:00', '1.2411289', '4.470798')",3.3745425205113024
"('2019-01-09 21:00:00', '1.2503216', '4.4897394')",3.4392257333945913
"('2019-01-09 22:00:00', '1.2068495', '4.5273438')",3.231065671523483
"('2019-01-09 23:00:00', '1.1660461', '4.5443354')",3.027595834128794
"('2019-01-10 00:00:00', '1.136452', '4.5371857')",2.871341376254905
"('2019-01-10 01:00:00', '1.1219217', '4.5137877')",2.783955602848577
"('2019-01-10 02:00:00', '1.120261', '4.492896')",2.7628727298372238
"('2019-01-10 03:00:00', '1.1328342', '4.4910393')",2.8240711819434687
"('2019-01-10 04:00:00', '1.1535323', '4.526601')",2.9513982431859156
"('2019-01-10 05:00:00', '1.1802799', '4.5863037')",3.130609597370287
"('2019-01-10 06:00:00', '1.2238705', '4.651113')",3.4136886206182653
"('2019-01-10 07:00:00', '1.2966998', '4.7239075')",3.892031555485196
"('2019-01-10 08:00:00', '1.3841777', '4.8278995')",4.5325019273814275
"('2019-01-10 09:00:00', '1.4644203', '4.941177')",5.192278421465134
"('2019-01-10 10:00:00', '1.5229565', '5.029477')",5.716022164007844
"('2019-01-10 11:00:00', '1.6065795', '5.076181')",6.420038335582629
"('2019-01-10 12:00:00', '1.6521274', '5.1304054')",6.86174906554717
"('2019-01-10 13:00:00', '1.6942947', '5.187044')",7.296152732503255
"('2019-01-10 14:00:00', '1.7150522', '5.2448897')",7.559396501360652
"('2019-01-10 15:00:00', '1.6714615', '5.305428')",7.262886550888822
"('2019-01-10 16:00:00', '1.5891433', '5.350646')",6.621073688485813
"('2019-01-10 17:00:00', '1.5043933', '5.3761797')",5.962009144945114
"('2019-01-10 18:00:00', '1.7628539', '5.974785')",9.098106234594296
"('2019-01-10 19:00:00', '1.6677251', '5.9853697')",8.157103842551061
"('2019-01-10 20:00:00', '1.5820856', '5.975806')",7.329131692362652
"('2019-01-10 21:00:00', '1.5051644', '5.943866')",6.598313801524715
"('2019-01-10 22:00:00', '1.4314456', '5.898369')",5.922126968665271
"('2019-01-10 23:00:00', '1.3551766', '5.8584433')",5.271935632653731
"('2019-01-11 00:00:00', '1.278018', '5.8177752')",4.656149939763149
"('2019-01-11 01:00:00', '1.2039434', '5.758444')",4.089906393332607
"('2019-01-11 02:00:00', '1.1868036', '5.7697716')",3.982102289956367
"('2019-01-11 03:00:00', '1.1251242', '5.631982')",3.4934800698684443
