"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-01 00:00:00', '1.7239755', '5.614545')",8.176601388403489
"('2019-01-01 01:00:00', '1.7170777', '5.5401874')",8.003877465969353
"('2019-01-01 02:00:00', '1.7276307', '5.49807')",8.0409649786947
"('2019-01-01 03:00:00', '1.747263', '5.4753337')",8.190741761723254
"('2019-01-01 04:00:00', '1.7718472', '5.463127')",8.404074812877534
"('2019-01-01 05:00:00', '1.7711399', '5.4643383')",8.399228429677521
"('2019-01-01 06:00:00', '1.7327598', '5.4690905')",8.04614616284431
"('2019-01-01 07:00:00', '1.6749247', '5.460891')",7.506719054831974
"('2019-01-01 08:00:00', '1.5995208', '5.443932')",6.824778421239015
"('2019-01-01 09:00:00', '1.5027751', '5.42511')",6.003335424535526
"('2019-01-01 10:00:00', '1.385395', '5.441323')",5.117381779266756
"('2019-01-01 11:00:00', '1.2841687', '5.404051')",4.366763581328415
"('2019-01-01 12:00:00', '1.2028103', '5.3009934')",3.7579207783752264
"('2019-01-01 13:00:00', '1.1540543', '5.097115')",3.3263887195514705
"('2019-01-01 14:00:00', '1.1235744', '4.872551')",3.0140895030480945
"('2019-01-01 15:00:00', '1.1145542', '4.654136')",2.8329410361697525
"('2019-01-01 16:00:00', '1.1298237', '4.482964')",2.804030236986654
"('2019-01-01 17:00:00', '1.1285267', '4.4087925')",2.751309301488794
"('2019-01-01 18:00:00', '1.1041781', '4.377298')",2.61505274056846
"('2019-01-01 19:00:00', '1.0879654', '4.3427277')",2.5187719417233865
"('2019-01-01 20:00:00', '1.0640295', '4.3301487')",2.4021837693705685
"('2019-01-01 21:00:00', '1.0247062', '4.3390007')",2.2324643276384175
"('2019-01-01 22:00:00', '0.97642183', '4.350648')",2.032473949737169
"('2019-01-01 23:00:00', '0.9228904', '4.3703094')",1.8239314890561849
"('2019-01-02 00:00:00', '0.8657037', '4.3994746')",1.6156059431177419
"('2019-01-02 01:00:00', '0.811229', '4.418297')",1.4247475573566195
"('2019-01-02 02:00:00', '0.7609991', '4.416899')",1.2533773286020204
"('2019-01-02 03:00:00', '0.71041536', '4.4316216')",1.0959315662555615
"('2019-01-02 04:00:00', '0.66472495', '4.4346967')",0.9601607812297432
