time;100m_ucomponent_wind;100m_vcomponent_wind;velocità;direzione (RAD);direzione(gradi);potenza prodotta(W);capacity factor
2019-01-01 00:00:00;-3,0565624;-8,826724;9,340965168;-1,904157772;-109,1002038;10614305,26;0,707620351
2019-01-01 01:00:00;-3,2170045;-9,077976;9,63113525;-1,911363049;-109,5130359;11634527,78;0,775635185
2019-01-01 02:00:00;-3,607955;-8,832163;9,540673065;-1,958610338;-112,2201061;11309759,18;0,753983945
2019-01-01 03:00:00;-3,783121;-8,797357;9,57629859;-1,976919087;-113,2691201;11436927,09;0,762461806
2019-01-01 04:00:00;-3,4617293;-8,822373;9,477227184;-1,944717174;-111,4240864;11085625,17;0,739041678
2019-01-01 05:00:00;-2,9560323;-8,893072;9,371491693;-1,891704132;-108,3866628;10718709,22;0,714580615
2019-01-01 06:00:00;-2,5061853;-8,939298;9,283965397;-1,844135063;-105,661156;10421178,99;0,694745266
2019-01-01 07:00:00;-1,8105981;-8,791919;8,976419397;-1,773895788;-101,636742;9419453,842;0,627963589
2019-01-01 08:00:00;-0,8525155;-8,233399;8,277417579;-1,673972216;-95,91154302;7385857,271;0,492390485
2019-01-01 09:00:00;0,44523698;-7,5133615;7,526542167;-1,511606189;-86,60865493;5552682,138;0,370178809
2019-01-01 10:00:00;1,3053281;-5,3434587;5,500584726;-1,33120345;-76,27233934;2167419,076;0,144494605
2019-01-01 11:00:00;2,2034986;-5,23306;5,678056273;-1,172256852;-67,16537011;2384050,183;0,158936679
2019-01-01 12:00:00;3,6241214;-5,4989953;6,585833678;-0,988084269;-56,61305844;3720048,411;0,248003227
2019-01-01 13:00:00;4,455272;-6,01292;7,483625827;-0,933112538;-53,46341023;5458238,534;0,363882569
2019-01-01 14:00:00;5,0873933;-6,256558;8,063875532;-0,888100571;-50,88441449;6828852,982;0,455256865
2019-01-01 15:00:00;5,45245;-6,647032;8,597223122;-0,883809244;-50,63853959;8275436,488;0,551695766
