time;100m_ucomponent_wind;100m_vcomponent_wind;velocità;direzione (RAD);direzione(gradi);potenza prodotta(W);capacity factor
2019-01-01 00:00:00;-3,2517254;-8,442598;9,047164145;-1,938441862;-111,0645375;3594562,762;0,599093794
2019-01-01 01:00:00;-3,3304882;-8,571978;9,196246978;-1,941377618;-111,2327439;3775205,006;0,629200834
2019-01-01 02:00:00;-3,659529;-8,655035;9,39690286;-1,970819743;-112,9196534;4027753,403;0,671292234
2019-01-01 03:00:00;-4,0082603;-8,762585;9,635821009;-1,999810992;-114,5807296;4342850,042;0,72380834
2019-01-01 04:00:00;-3,878717;-8,8163595;9,631855501;-1,985257475;-113,7468746;4337490,504;0,722915084
2019-01-01 05:00:00;-3,4973402;-8,895159;9,557993624;-1,945403915;-111,4634338;4238467,628;0,706411271
2019-01-01 06:00:00;-3,0760643;-8,95479;9,46839139;-1,901678188;-108,9581342;4120379,964;0,686729994
2019-01-01 07:00:00;-2,4537365;-8,826476;9,161195413;-1,841946963;-105,5357871;3732201,663;0,62203361
2019-01-01 08:00:00;-1,4686866;-8,303636;8,432521044;-1,745858476;-100,0303223;2910589,526;0,485098254
2019-01-01 09:00:00;-0,11262369;-7,6764407;7,677266826;-1,585466617;-90,84054569;2196486,639;0,366081107
2019-01-01 10:00:00;1,0791779;-5,532904;5,637166985;-1,378167497;-78,96318107;869543,5947;0,144923932
2019-01-01 11:00:00;2,0782185;-5,3327127;5,723357133;-1,199190847;-68,70857436;910041,5058;0,151673584
2019-01-01 12:00:00;3,5415437;-5,6037164;6,629039845;-1,007179778;-57,70715051;1414036,271;0,235672712
2019-01-01 13:00:00;4,3322783;-6,1244264;7,50181538;-0,955136503;-54,72529049;2049310,555;0,341551759
2019-01-01 14:00:00;4,9333606;-6,2921395;7,995565414;-0,905856095;-51,90173108;2481168,183;0,41352803
2019-01-01 15:00:00;5,3116283;-6,5977507;8,470165848;-0,89297366;-51,16362192;2949744,522;0,491624087
2019-01-01 16:00:00;5,2753563;-7,07214;8,822955756;-0,929901939;-53,27945648;3333887,689;0,555647948
2019-01-01 17:00:00;5,485735;-6,7042356;8,662566795;-0,885026492;-50,70828275;3155356,618;0,52589277
2019-01-01 18:00:00;5,865039;-6,3709383;8,659534473;-0,826719859;-47,36755876;3152044,191;0,525340698
2019-01-01 19:00:00;6,0033913;-6,1196346;8,572667889;-0,794986507;-45,54937162;3058135,039;0,509689173
