time;potenza prodotta(W);capacity factor
2019-01-01 00:00:00;2544995,32;0,508999064
2019-01-01 01:00:00;2672892,285;0,534578457
2019-01-01 02:00:00;2851699,704;0,570339941
2019-01-01 03:00:00;3074792,059;0,614958412
2019-01-01 04:00:00;3070997,439;0,614199488
2019-01-01 05:00:00;3000888,006;0,600177601
2019-01-01 06:00:00;2917280,466;0,583456093
2019-01-01 07:00:00;2642445,381;0,528489076
2019-01-01 08:00:00;2060733,729;0,412146746
2019-01-01 09:00:00;1555139,968;0,311027994
2019-01-01 10:00:00;615647,723;0,123129545
2019-01-01 11:00:00;644320,7498;0,12886415
2019-01-01 12:00:00;1001155,337;0,200231067
2019-01-01 13:00:00;1450937,463;0,290187493
2019-01-01 14:00:00;1756698,056;0,351339611
2019-01-01 15:00:00;2088455,955;0,417691191
2019-01-01 16:00:00;2360434,114;0,472086823
2019-01-01 17:00:00;2234031,886;0,446806377
2019-01-01 18:00:00;2231686,647;0,446337329
2019-01-01 19:00:00;2165197,794;0,433039559
2019-01-01 20:00:00;1693062,943;0,338612589
2019-01-01 21:00:00;1288915,239;0,257783048
2019-01-01 22:00:00;930618,4809;0,186123696
2019-01-01 23:00:00;591832,5069;0,118366501
2019-01-02 00:00:00;410729,6549;0,082145931
2019-01-02 01:00:00;388707,4413;0,077741488
2019-01-02 02:00:00;415859,816;0,083171963
2019-01-02 03:00:00;108830,5873;0,021766117
2019-01-02 04:00:00;0;0
2019-01-02 05:00:00;0;0
2019-01-02 06:00:00;0;0
2019-01-02 07:00:00;0;0
2019-01-02 08:00:00;105699,917;0,021139983
2019-01-02 09:00:00;531168,0129;0,106233603
2019-01-02 10:00:00;972202,5513;0,19444051
2019-01-02 11:00:00;2168302,774;0,433660555
2019-01-02 12:00:00;4526831,965;0,905366393
2019-01-02 13:00:00;2988346,306;0,597669261
2019-01-02 14:00:00;3318879,802;0,66377596
2019-01-02 15:00:00;5000000;1
2019-01-02 16:00:00;1935397,813;0,387079563
2019-01-02 17:00:00;1257423,666;0,251484733
2019-01-02 18:00:00;2139786,196;0,427957239
2019-01-02 19:00:00;3652921,792;0,730584358
2019-01-02 20:00:00;5000000;1
2019-01-02 21:00:00;5000000;1
2019-01-02 22:00:00;4800845,616;0,960169123
2019-01-02 23:00:00;4309135,741;0,861827148
2019-01-03 00:00:00;4357086,377;0,871417275
2019-01-03 01:00:00;5000000;1
2019-01-03 02:00:00;5000000;1
2019-01-03 03:00:00;5000000;1
2019-01-03 04:00:00;5000000;1
2019-01-03 05:00:00;5000000;1
2019-01-03 06:00:00;5000000;1
2019-01-03 07:00:00;5000000;1
2019-01-03 08:00:00;5000000;1
2019-01-03 09:00:00;5000000;1
2019-01-03 10:00:00;5000000;1
2019-01-03 11:00:00;5000000;1
2019-01-03 12:00:00;5000000;1
2019-01-03 13:00:00;5000000;1
2019-01-03 14:00:00;5000000;1
2019-01-03 15:00:00;5000000;1
2019-01-03 16:00:00;5000000;1
2019-01-03 17:00:00;5000000;1
2019-01-03 18:00:00;5000000;1
2019-01-03 19:00:00;5000000;1
2019-01-03 20:00:00;5000000;1
2019-01-03 21:00:00;5000000;1
2019-01-03 22:00:00;5000000;1
2019-01-03 23:00:00;5000000;1
2019-01-04 00:00:00;5000000;1
2019-01-04 01:00:00;5000000;1
2019-01-04 02:00:00;5000000;1
2019-01-04 03:00:00;5000000;1
2019-01-04 04:00:00;5000000;1
2019-01-04 05:00:00;5000000;1
2019-01-04 06:00:00;5000000;1
2019-01-04 07:00:00;5000000;1
2019-01-04 08:00:00;5000000;1
2019-01-04 09:00:00;5000000;1
2019-01-04 10:00:00;5000000;1
2019-01-04 11:00:00;5000000;1
2019-01-04 12:00:00;4773602,265;0,954720453
2019-01-04 13:00:00;5000000;1
2019-01-04 14:00:00;4945508,77;0,989101754
2019-01-04 15:00:00;4635974,318;0,927194864
2019-01-04 16:00:00;4288304,969;0,857660994
2019-01-04 17:00:00;4108460,045;0,821692009
2019-01-04 18:00:00;3900058,828;0,780011766
2019-01-04 19:00:00;3723789,396;0,744757879
2019-01-04 20:00:00;3564007,543;0,712801509
2019-01-04 21:00:00;2845325,117;0,569065023
2019-01-04 22:00:00;3613758,428;0,722751686
2019-01-04 23:00:00;4153463,802;0,83069276
2019-01-05 00:00:00;4778533,462;0,955706692
2019-01-05 01:00:00;5000000;1
2019-01-05 02:00:00;5000000;1
2019-01-05 03:00:00;5000000;1
2019-01-05 04:00:00;5000000;1
2019-01-05 05:00:00;5000000;1
2019-01-05 06:00:00;5000000;1
2019-01-05 07:00:00;5081781,144;1,016356229
2019-01-05 08:00:00;4862362,143;0,972472429
2019-01-05 09:00:00;4137915,086;0,827583017
2019-01-05 10:00:00;2768197,215;0,553639443
2019-01-05 11:00:00;3319220,837;0,663844167
2019-01-05 12:00:00;3638163,138;0,727632628
2019-01-05 13:00:00;3410141,874;0,682028375
2019-01-05 14:00:00;2819799,095;0,563959819
2019-01-05 15:00:00;2130634,928;0,426126986
2019-01-05 16:00:00;1534606,871;0,306921374
2019-01-05 17:00:00;1382152,033;0,276430407
2019-01-05 18:00:00;2282387,164;0,456477433
