time;100m_ucomponent_wind;100m_vcomponent_wind;velocità;direzione (RAD);direzione(gradi);potenza prodotta(W);capacity factor
2019-01-01 00:00:00;-3,0565624;-8,826724;9,340965168;-1,904157772;-109,1002038;883357,0496;0,5889047
2019-01-01 01:00:00;-3,2170045;-9,077976;9,63113525;-1,911363049;-109,5130359;968263,2897;0,64550886
2019-01-01 02:00:00;-3,607955;-8,832163;9,540673065;-1,958610338;-112,2201061;941234,9893;0,627489993
2019-01-01 03:00:00;-3,783121;-8,797357;9,57629859;-1,976919087;-113,2691201;951818,3171;0,634545545
2019-01-01 04:00:00;-3,4617293;-8,822373;9,477227184;-1,944717174;-111,4240864;922581,8273;0,615054552
2019-01-01 05:00:00;-2,9560323;-8,893072;9,371491693;-1,891704132;-108,3866628;892045,8868;0,594697258
2019-01-01 06:00:00;-2,5061853;-8,939298;9,283965397;-1,844135063;-105,661156;867284,4517;0,578189634
2019-01-01 07:00:00;-1,8105981;-8,791919;8,976419397;-1,773895788;-101,636742;783917,6232;0,522611749
2019-01-01 08:00:00;-0,8525155;-8,233399;8,277417579;-1,673972216;-95,91154302;614675,0941;0,409783396
2019-01-01 09:00:00;0,44523698;-7,5133615;7,526542167;-1,511606189;-86,60865493;462112,2898;0,30807486
2019-01-01 10:00:00;1,3053281;-5,3434587;5,500584726;-1,33120345;-76,27233934;180379,6737;0,120253116
2019-01-01 11:00:00;2,2034986;-5,23306;5,678056273;-1,172256852;-67,16537011;198408,4199;0,13227228
2019-01-01 12:00:00;3,6241214;-5,4989953;6,585833678;-0,988084269;-56,61305844;309594,5431;0,206396362
2019-01-01 13:00:00;4,455272;-6,01292;7,483625827;-0,933112538;-53,46341023;454252,3856;0,302834924
2019-01-01 14:00:00;5,0873933;-6,256558;8,063875532;-0,888100571;-50,88441449;568319,3833;0,378879589
2019-01-01 15:00:00;5,45245;-6,647032;8,597223122;-0,883809244;-50,63853959;688708,7735;0,459139182
2019-01-01 16:00:00;5,357505;-7,065785;8,867253097;-0,922047458;-52,82942787;755663,3085;0,503775539
2019-01-01 17:00:00;5,570243;-6,620928;8,652415539;-0,871369818;-49,92581296;702058,2177;0,468038812
2019-01-01 18:00:00;5,9175286;-6,3348703;8,668778833;-0,819447039;-46,95085688;706048,9151;0,470699277
2019-01-01 19:00:00;5,9667783;-6,0580583;8,503088477;-0,792988973;-45,43492136;666332,683;0,444221789
2019-01-01 20:00:00;5,6961594;-5,1536603;7,681565361;-0,735439022;-42,13755203;491258,6519;0,327505768
2019-01-01 21:00:00;5,1691375;-4,6337533;6,942020753;-0,730837438;-41,87390068;362592,4396;0,241728293
2019-01-01 22:00:00;5,7570868;-2,5389;6,292063384;-0,415347962;-23,79768526;269985,4054;0,17999027
2019-01-01 23:00:00;5,0259585;-1,6241688;5,281873071;-0,312563189;-17,90855157;159707,3496;0,106471566
2019-01-02 00:00:00;4,3786054;-0,69040346;4,432701455;-0,156389005;-8,960429955;94398,79883;0,062932533
2019-01-02 01:00:00;4,1079865;1,1406902;4,263417317;0,270852573;15,51870932;83991,34886;0,055994233
2019-01-02 02:00:00;3,8673232;2,1864853;4,442623853;0,514570253;29,48270376;95034,14101;0,063356094
2019-01-02 03:00:00;2,7350898;0,7377082;2,83283067;0,263450766;15,09461699;0;0
2019-01-02 04:00:00;1,5739162;0,71051633;1,726860058;0,424044241;24,29594536;0;0
2019-01-02 05:00:00;1,5596998;0,44838774;1,622872463;0,279934453;16,03906272;0;0
2019-01-02 06:00:00;1,9237406;-0,39618862;1,964113876;-0,203107242;-11,63718776;0;0
2019-01-02 07:00:00;2,2314239;-1,1814868;2,524908648;-0,486949893;-27,90017371;0;0
2019-01-02 08:00:00;3,1504111;-2,2816658;3,889870039;-0,626812368;-35,91370323;63792,01151;0,042528008
2019-01-02 09:00:00;4,6878114;-3,9398198;6,123541114;-0,698917191;-40,04500527;248867,9301;0,165911953
2019-01-02 10:00:00;5,3783216;-4,526618;7,029695139;-0,699621393;-40,08535309;376504,7804;0,251003187
2019-01-02 11:00:00;5,972871;-6,6551895;8,942412161;-0,839377606;-48,09279422;775041,7006;0,516694467
2019-01-02 12:00:00;5,275253;-9,538605;10,90015044;-1,065620301;-61,05554584;1403648,924;0,935765949
2019-01-02 13:00:00;1,4048426;-9,299317;9,404832768;-1,420860638;-81,40931782;901600,7287;0,601067152
2019-01-02 14:00:00;-5,3235674;-9,707737;11,07160908;-2,072397981;-118,7396578;1470934,216;0,980622811
2019-01-02 15:00:00;-6,9147863;-10,047091;12,19665147;-2,173584398;-124,5372124;1966449,793;1,310966529
2019-01-02 16:00:00;-3,1398299;-7,09624;7,759842391;-1,98736557;-113,8676595;506430,3477;0,337620232
2019-01-02 17:00:00;-0,6773494;-7,2224097;7,254102569;-1,664307214;-95,35777915;413725,3169;0,275816878
2019-01-02 18:00:00;-1,4160935;-8,8430395;8,955705913;-1,729584691;-99,09790308;778503,3626;0,519002242
2019-01-02 19:00:00;-3,3190577;-10,160752;10,68910778;-1,886524144;-108,0898714;1323687,264;0,882458176
2019-01-02 20:00:00;-4,0801415;-11,126603;11,85111172;-1,922271785;-110,1380604;1804007,33;1,202671554
2019-01-02 21:00:00;-3,5526125;-12,264851;12,76901036;-1,852738273;-106,1540836;2256486,5;1,504324333
2019-01-02 22:00:00;-1,9085896;-11,230476;11,39150146;-1,739135309;-99,64511322;1602152,794;1,068101863
2019-01-02 23:00:00;-1,276976;-10,958558;11,03270869;-1,686800891;-96,64657191;1455484,133;0,970322755
2019-01-03 00:00:00;-0,22242516;-11,359909;11,36208632;-1,590373662;-91,12169866;1589773,575;1,05984905
2019-01-03 01:00:00;-0,6047443;-13,4650955;13,4786688;-1,615678161;-92,57153968;2654006,771;1,769337848
2019-01-03 02:00:00;-2,8382394;-14,504909;14,77998606;-1,764029219;-101,0714292;1500000;1
2019-01-03 03:00:00;-4,325882;-15,049831;15,65920395;-1,850688187;-106,0366223;1500000;1
2019-01-03 04:00:00;-5,069703;-15,034604;15,86635453;-1,896024897;-108,6342245;1500000;1
2019-01-03 05:00:00;-5,356062;-15,031342;15,95708753;-1,913095865;-109,6123189;1500000;1
2019-01-03 06:00:00;-5,3337216;-15,1721945;16,08241499;-1,908847607;-109,3689116;1500000;1
2019-01-03 07:00:00;-5,154494;-14,858946;15,72758992;-1,904702321;-109,1314042;1500000;1
2019-01-03 08:00:00;-4,5137415;-14,88233;15,55177188;-1,86527363;-106,8723067;1500000;1
2019-01-03 09:00:00;-3,4439588;-15,273891;15,65734966;-1,792567709;-102,7065642;1500000;1
2019-01-03 10:00:00;0,4630075;-15,1330385;15,14011989;-1,540210063;-88,24753618;1500000;1
2019-01-03 11:00:00;2,1156619;-16,028736;16,16775813;-1,439563115;-82,48089081;1500000;1
2019-01-03 12:00:00;2,650807;-16,08747;16,30440029;-1,407489108;-80,64318559;1500000;1
2019-01-03 13:00:00;2,6624846;-16,262041;16,47855581;-1,408512251;-80,7018074;1500000;1
2019-01-03 14:00:00;2,219746;-16,358845;16,50875774;-1,435929151;-82,27268006;1500000;1
2019-01-03 15:00:00;0,35943097;-16,134783;16,13878599;-1,548523233;-88,72384574;1500000;1
2019-01-03 16:00:00;-1,3236871;-15,620859;15,67684227;-1,655332804;-94,84358336;1500000;1
2019-01-03 17:00:00;-2,3868692;-15,13195;15,31904225;-1,727244352;-98,96381155;1500000;1
2019-01-03 18:00:00;-2,4508429;-14,435842;14,64240981;-1,738967649;-99,63550701;1500000;1
