time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190101:0010;0;0;0;0;0;0;0
20190101:0110;0;0;0;0;0;0;0
20190101:0210;0;0;0;0;0;0;0
20190101:0310;0;0;0;0;0;0;0
20190101:0410;0;0;0;0;0;0;0
20190101:0510;0;0;0;0;0;0;0
20190101:0610;0;0;0;0;0;0;0
20190101:0710;198630;240,6;5,85;0;0;0;0,19863
20190101:0810;454180;529,07;13,83;0;0;0;0,45418
20190101:0910;605690;717,6;19,99;0;0;0;0,60569
20190101:1010;683910;822,96;23,81;0;0;0;0,68391
20190101:1110;714770;865,78;24,84;0;0;0;0,71477
20190101:1210;648610;774,95;22,96;0;0;0;0,64861
20190101:1310;370200;428,06;18,39;0;0;0;0,3702
20190101:1410;255320;298,61;11,63;0;0;0;0,25532
20190101:1510;50690;74,98;3,22;0;0;0;0,05069
20190101:1610;0;0;0;0;0;0;0
20190101:1710;0;0;0;0;0;0;0
20190101:1810;0;0;0;0;0;0;0
20190101:1910;0;0;0;0;0;0;0
20190101:2010;0;0;0;0;0;0;0
20190101:2110;0;0;0;0;0;0;0
20190101:2210;0;0;0;0;0;0;0
20190101:2310;0;0;0;0;0;0;0
20190102:0010;0;0;0;0;0;0;0
20190102:0110;0;0;0;0;0;0;0
20190102:0210;0;0;0;0;0;0;0
20190102:0310;0;0;0;0;0;0;0
20190102:0410;0;0;0;0;0;0;0
20190102:0510;0;0;0;0;0;0;0
20190102:0610;0;0;0;0;0;0;0
20190102:0710;92130;120,44;5,85;0;0;0;0,09213
20190102:0810;83260;109;13,85;0;0;0;0,08326
20190102:0910;69690;94,22;20,04;0;0;0;0,06969
20190102:1010;77890;103,46;23,88;0;0;0;0,07789
20190102:1110;26090;43,41;24,93;0;0;0;0,02609
20190102:1210;33700;52,65;23,07;0;0;0;0,0337
20190102:1310;24590;41,57;18,51;0;0;0;0,02459
20190102:1410;13800;27,71;11,76;0;0;0;0,0138
20190102:1510;0;2,77;3,35;0;0;0;0
20190102:1610;0;0;0;0;0;0;0
20190102:1710;0;0;0;0;0;0;0
20190102:1810;0;0;0;0;0;0;0
20190102:1910;0;0;0;0;0;0;0
20190102:2010;0;0;0;0;0;0;0
