index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
0,41.0,6.0,2019-01-01 00:00:00,1.2751434,5.8620276,322.18796
1,41.0,6.0,2019-01-01 01:00:00,1.2839067,5.885787,322.4624
2,41.0,6.0,2019-01-01 02:00:00,1.2916043,5.935442,322.71487
3,41.0,6.0,2019-01-01 03:00:00,1.2974072,6.0018167,322.87402
4,41.0,6.0,2019-01-01 04:00:00,1.3017888,6.068443,322.98383
5,41.0,6.0,2019-01-01 05:00:00,1.3527114,6.250093,323.01675
6,41.0,6.0,2019-01-01 06:00:00,1.3356583,6.295726,322.98383
7,41.0,6.0,2019-01-01 07:00:00,1.3113813,6.335827,322.91248
8,41.0,6.0,2019-01-01 08:00:00,1.2816567,6.3549347,322.885
9,41.0,6.0,2019-01-01 09:00:00,1.2473135,6.350535,322.92892
10,41.0,6.0,2019-01-01 10:00:00,1.2098916,6.3212447,322.97833
11,41.0,6.0,2019-01-01 11:00:00,1.1759038,6.237648,323.0826
12,41.0,6.0,2019-01-01 12:00:00,1.1459422,6.1167154,323.16495
13,41.0,6.0,2019-01-01 13:00:00,1.1266391,5.9456244,323.19788
14,41.0,6.0,2019-01-01 14:00:00,1.1202443,5.7438607,323.0442
15,41.0,6.0,2019-01-01 15:00:00,1.1312578,5.5041327,322.51178
16,41.0,6.0,2019-01-01 16:00:00,1.142508,5.301489,321.80927
17,41.0,6.0,2019-01-01 17:00:00,1.1618111,5.1168213,321.18353
18,41.0,6.0,2019-01-01 18:00:00,1.2119048,4.936931,320.68958
19,41.0,6.0,2019-01-01 19:00:00,1.2889991,4.8138614,320.64563
20,41.0,6.0,2019-01-01 20:00:00,1.3656197,4.7769027,320.2724
21,41.0,6.0,2019-01-01 21:00:00,1.4596486,4.7948794,319.05945
22,41.0,6.0,2019-01-01 22:00:00,1.5773625,4.8708076,318.21967
23,41.0,6.0,2019-01-01 23:00:00,1.7433934,5.009591,316.96277
24,41.0,6.0,2019-01-02 00:00:00,1.9642551,5.241777,315.80466
25,41.0,6.0,2019-01-02 01:00:00,2.2596056,5.561205,315.7937
26,41.0,6.0,2019-01-02 02:00:00,2.585391,5.9267683,316.44684
27,41.0,6.0,2019-01-02 03:00:00,2.9198217,6.2953486,317.12744
28,41.0,6.0,2019-01-02 04:00:00,3.263371,6.6565123,317.94525
29,41.0,6.0,2019-01-02 05:00:00,3.6217234,7.0260983,319.54242
30,41.0,6.0,2019-01-02 06:00:00,4.0216427,7.395056,321.4854
31,41.0,6.0,2019-01-02 07:00:00,4.462655,7.7789726,323.51074
32,41.0,6.0,2019-01-02 08:00:00,4.9259315,8.162513,325.4482
33,41.0,6.0,2019-01-02 09:00:00,5.3430223,8.497403,327.2979
34,41.0,6.0,2019-01-02 10:00:00,5.579753,8.753473,328.63712
35,41.0,6.0,2019-01-02 11:00:00,5.6878743,8.931101,330.0971
36,41.0,6.0,2019-01-02 12:00:00,5.707059,9.030537,331.38693
37,41.0,6.0,2019-01-02 13:00:00,5.627004,9.075792,331.7821
38,41.0,6.0,2019-01-02 14:00:00,5.4878554,9.072524,331.96326
39,41.0,6.0,2019-01-02 15:00:00,5.2827444,9.050651,332.2157
40,41.0,6.0,2019-01-02 16:00:00,5.0125,9.032045,332.00714
41,41.0,6.0,2019-01-02 17:00:00,4.7535057,8.9940815,331.59552
42,41.0,6.0,2019-01-02 18:00:00,4.5140514,8.943546,331.15643
43,41.0,6.0,2019-01-02 19:00:00,4.3051505,8.880188,330.78867
